species,life_form,source,notes_1,notes_2
Cymbalaria muralis f. visianii K√ºmmerle,perennial,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,
Cymbalaria pallida (Ten.) Wettst. Wettst. (Ten.),perennial,,,
Cymbalaria microcalyx subsp. ebelii (Cufod.) Cufod. Cufod. (Cufod.),no_life_form_on_database,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,
Cymbalaria microcalyx subsp. acutiloba (Boiss. & Heldr.) Greuter Greuter (Boiss. & Heldr.),no_life_form_on_database,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,
Cymbalaria pubescens (J. & C.Presl) Cufod. Cufod. (J. & C.Presl),perennial,,,
Cymbalaria longipes (Boiss. & Heldr.) A.Chev. A.Chev. (Boiss. & Heldr.),perennial,,,
Cymbalaria microcalyx subsp. minor (Cufod.) Greuter Greuter (Cufod.),no_life_form_on_database,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,
Cymbalaria fragilis (Rodr.) A.Chev. A.Chev. (Rodr.),perennial,,,
Cymbalaria muelleri (Moris) A.Chev. A.Chev. (Moris),perennial,,,
Cymbalaria aequitriloba (Viv.) A.Chev. A.Chev. (Viv.),perennial,,,
Cymbalaria hepaticifolia (Poir.) Wettst. Wettst. (Poir.),perennial,,,
Cymbalaria microcalyx (Boiss.) Wettst. Wettst. (Boiss.),perennial,,,
Gadoria falukei G√ºemes & Mota,no_life_form_on_database,,,
Asarina procumbens Mill.,perennial,,,
Mabrya acerifolia (Pennell) Elisens Elisens (Pennell),perennial,,,
Mabrya geniculata (Rob. & Fernald) Elisens Elisens (Rob. & Fernald),no_life_form_on_database,,,
Mabrya coccinea (I.M.Johnst.) Elisens Elisens (I.M.Johnst.),no_life_form_on_database,,,
Lophospermum purpusii (Brandegee) Rothm. Rothm. (Brandegee),no_life_form_on_database,,,
Lophospermum scandens Sweet,no_life_form_on_database,,,
Lophospermum erubescens D.Don,perennial,,,
Maurandya scandens (Cav.) Pers. Pers. (Cav.),perennial,,,
Lophospermum turneri Elisens,no_life_form_on_database,,,
Lophospermum erectum (Hemsl.) Rothm. Rothm. (Hemsl.),no_life_form_on_database,,,
Mabrya rosei (Munz) Elisens Elisens (Munz),no_life_form_on_database,,,
Lophospermum breedlovei Elisens,no_life_form_on_database,,,
Rhodochiton atrosanguineum (Zucc.) Rothm. Rothm. (Zucc.),perennial,,,
Holmgrenanthe petrophila (Coville & C.V.Morton) Elisens Elisens (Coville & C.V.Morton),perennial,,,
Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm. Rothm. (Humb. & Bonpl. ex Willd.),perennial,,,
Maurandya barclaiana Lindl.,perennial,,,
Epixiphium wislizenii (Engelm. ex A.Gray) Munz Munz (Engelm. ex A.Gray),perennial,,,
Nanorrhinum cabulicum (Benth.) Podlech & Iranshahr Podlech & Iranshahr (Benth.),no_life_form_on_database,,,
Nanorrhinum ovatum (Benth.) Podlech & Iranshahr Podlech & Iranshahr (Benth.),no_life_form_on_database,,,
Nanorrhinum ramosissimum (Wall.) Betsche Betsche (Wall.),perennial,,,
Nanorrhinum macilentum (Decne.) Betsche Betsche (Decne.),perennial,,,
Nanorrhinum scariosepalum (T√§ckh. & Boulos) Yousefi & Zarre Yousefi & Zarre (T√§ckh. & Boulos),no_life_form_on_database,,,
Nanorrhinum petranum (Danin) Yousefi & Zarre Yousefi & Zarre (Danin),no_life_form_on_database,,,
Nanorrhinum acerbianum (Boiss.) Betsche Betsche (Boiss.),annual,,,
Nanorrhinum judaicum (Danin) Yousefi & Zarre Yousefi & Zarre (Danin),no_life_form_on_database,,,
Nanorrhinum scoparium (Brouss. ex Spreng.) Yousefi & Zarre Yousefi & Zarre (Brouss. ex Spreng.),no_life_form_on_database,,,
Nanorrhinum urbani (Pit.) Yousefi & Zarre Yousefi & Zarre (Pit.),no_life_form_on_database,,,
Nanorrhinum heterophyllum subsp. canariensis (V.A.W.Sm.),no_life_form_on_database,,,
Nanorrhinum heterophyllum (Schousb.) Ghebr. Ghebr. (Schousb.),perennial,,,
Nanorrhinum sagittatum (Poir.) Yousefi & Zarre Yousefi & Zarre (Poir.),no_life_form_on_database,,,
Nanorrhinum asparagoides (Schweinf.) Ghebr. Ghebr. (Schweinf.),perennial,,,
Nanorrhinum woodii (D.A.Sutton) Ghebr. Ghebr. (D.A.Sutton),no_life_form_on_database,,,
Nanorrhinum elegans (G.Forst.) Ghebr. Ghebr. (G.Forst.),perennial,,,
Kickxia aegyptiaca (L.) N√°belek N√°belek (L.),perennial,,,
Kickxia aegyptiaca subsp. fruticosa (Desf.) Podlech Podlech (Desf.),no_life_form_on_database,,,
Kickxia floribunda (Boiss.) T√§ckh. & Boulos T√§ckh. & Boulos (Boiss.),perennial,,,
Kickxia scariosa (Vent.) Rothm. Rothm. (Vent.),no_life_form_on_database,,,
Kickxia lanigera Hand.-Mazz.,annual,,,
Kickxia spuria (L.) Dumort. Dumort. (L.),annual,,,
Kickxia caucasica (Muss.-Puschk. ex Spreng.) Kuprian. Kuprian. (Muss.-Puschk. ex Spreng.),annual,,,
Kickxia sieberi D√∂rfl.,no_life_form_on_database,,,
Kickxia elatine subsp. crinita (Mabille) Greuter Greuter (Mabille),no_life_form_on_database,,,
Kickxia commutata (Bernh. ex Rchb.) Fritsch Fritsch (Bernh. ex Rchb.),perennial,,,
Kickxia elatine (L.) Dumort. Dumort. (L.),annual,,,
Kickxia cirrhosa (L.) Fritsch Fritsch (L.),annual,,,
Kickxia spuria subsp. integrifolia (Brot.) R.Fern. R.Fern. (Brot.),annual,,,
Anarrhinum corsicum Jord. & Fourr.,perennial,,,
Anarrhinum laxiflorum Boiss.,annual,,,
Anarrhinum fruticosum Hochst. ex Engl.,perennial,,,
Anarrhinum forskaohlii (J.F.Gmel.) Cufod. Cufod. (J.F.Gmel.),perennial,,,
Anarrhinum longipedicellatum R.Fern.,annual,,,
Anarrhinum pedatum Desf.,annual,,,
Anarrhinum bellidifolium Fenzl ex Jaub. & Spach,annual,,,
Anarrhinum duriminium (Brot.) Pers. Pers. (Brot.),annual,,,
