"species","life_form"
"Paraboea neurophylla (Collett & Hemsl.) B.L.Burtt B.L.Burtt (Collett & Hemsl.)","perennial"
"Paraboea trisepala W.H.Chen & Y.M.Shui","no_life_form_on_database"
"Paraboea dictyoneura (Hance) B.L.Burtt B.L.Burtt (Hance)","perennial"
"Paraboea multiflora (R.Br.) B.L.Burtt B.L.Burtt (R.Br.)","no_life_form_on_database"
"Paraboea velutina (W.T.Wang & C.Z.Gao) B.L.Burtt B.L.Burtt (W.T.Wang & C.Z.Gao)","perennial"
"Ornithoboea arachnoidea (Diels) Craib Craib (Diels)","perennial"
"Ornithoboea wildeana Craib","perennial"
"Orchadocarpa lilacina Ridl.","perennial"
"Emarhendia bettiana (M.R.Hend.) Kiew, A.Weber & B.L.Burtt Kiew, A.Weber & B.L.Burtt (M.R.Hend.)","perennial"
"Streptocarpus orientalis Craib","no_life_form_on_database"
"Damrongia lacunosa (Hook.fil.) D.J.Middleton & A.Weber D.J.Middleton & A.Weber (Hook.fil.)","perennial"
"Boea hygroscopica F.Muell.","perennial"
"Spelaeanthus chinii Kiew, A.Weber & B.L.Burtt","no_life_form_on_database"
"Boea magellanica Lam.","perennial"
"Senyumia minutiflora (Ridl.) Kiew, A.Weber & B.L.Burtt Kiew, A.Weber & B.L.Burtt (Ridl.)","perennial"
"Kaisupeea herbacea (C.B.Clarke) B.L.Burtt B.L.Burtt (C.B.Clarke)","no_life_form_on_database"
"Rhabdothamnopsis sinensis Hemsl.","perennial"
"Isometrum farreri Craib","no_life_form_on_database"
"Boea hygrometrica (Bunge) R.Br. R.Br. (Bunge)","no_life_form_on_database"
"Boea philippensis C.B.Clarke","no_life_form_on_database"
