"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Oenothera rhombipetala Nutt.","40","8.257304","0.563705","0.08913","0.007604"
"Gilia capitata Sims","53","8.42402","0.813267","0.111711","0.005739"
"Melica scabrosa Trin.","68","8.51256","0.384675","0.046649","0.004473"
"Draba lanceolata Royle","46","8.043745","0.757539","0.111693","0.006612"
"Centaurea tweediei Hook. & Arn.","14","8.861598","0.204364","0.054619","0.021724"
"Linanthus caespitosus (Nutt.) J.M.Porter & L.A.Johnson","27","7.475587","0.335993","0.064662","0.011265"
"Festuca calligera (Piper) Rydb.","14","8.34892","0.312726","0.08358","0.021724"
"Gymnosteris parvula (Rydb.) A.Heller","31","7.745008","0.415762","0.074673","0.009811"
"Collomia debilis (S.Watson) Greene","17","8.464898","0.803327","0.194835","0.017891"
"Collomia larsenii (A.Gray) Payson","12","9.572291","0.768206","0.221762","0.025345"
"Pteryxia petraea (M.E.Jones) J.M.Coult. & Rose","19","7.483149","0.427694","0.09812","0.016007"
"Leptosiphon breviculus (A.Gray) J.M.Porter & L.A.Johnson","5","7.714503","0.335506","0.150043","0.060828"
"Leptosiphon androsaceus Benth.","22","8.245004","0.544611","0.116111","0.013825"
"Leptosiphon montanus (Greene) J.M.Porter & L.A.Johnson","14","8.312167","0.554556","0.148211","0.021724"
"Lomatium howellii (S.Watson) Jeps.","7","8.915105","0.827417","0.312734","0.043449"
"Lomatium ambiguum (Nutt.) J.M.Coult. & Rose","46","8.414219","0.613056","0.09039","0.006612"
"Lupinus pachylobus Greene","15","8.225532","0.50797","0.131157","0.020276"
"Salvia sonomensis Greene","21","8.480453","0.350107","0.0764","0.014483"
"Gilia clokeyi Mason","43","6.935875","0.516729","0.0788","0.007073"
"Allolepis texana (Vasey) Soderstr. & H.F.Decker","11","7.541413","0.388072","0.117008","0.027649"
"Oenothera grandis Smyth","41","8.099421","0.403725","0.063051","0.007418"
"Navarretia capillaris (Kellogg) Kuntze","27","8.67569","0.549342","0.105721","0.011265"
"Linaria canadensis (L.) Chaz.","107","8.956986","0.50505","0.048825","0.002842"
"Panicum rhizogonum Hack.","6","9.518109","0.122306","0.049931","0.05069"
"Croton chilensis Müll.Arg.","1","2.833213",NA,NA,"0.304142"
"Polemonium micranthum Benth.","83","7.893516","0.536857","0.058928","0.003664"
"Lomatium dasycarpum (Torr. & Gray) J.M.Coult. & Rose","26","8.041482","0.726862","0.142549","0.011698"
"Lupinus uncialis S.Watson","18","7.380464","0.236659","0.055781","0.016897"
"Gilia angelensis V.E.Grant","26","7.546438","0.568237","0.11144","0.011698"
"Eremothera refracta (S.Watson) W.L.Wagner & Hoch","22","6.318884","0.595455","0.126951","0.013825"
"Linanthus campanulatus (A.Gray) J.M.Porter & L.A.Johnson","11","6.43841","0.270847","0.081663","0.027649"
"Stanleya elata M.E.Jones","16","6.988074","0.492761","0.12319","0.019009"
"Mabrya acerifolia (Pennell) Elisens","1","7.697121",NA,NA,"0.304142"
"Leymus salina (M.E.Jones) Á.Löve","36","7.458777","0.370925","0.061821","0.008448"
"Leptosiphon nudatus (Greene) J.M.Porter & L.A.Johnson","10","8.028807","0.558922","0.176747","0.030414"
"Lomatium juniperinum (M.E.Jones) J.M.Coult. & Rose","11","7.810177","0.148278","0.044707","0.027649"
"Angelica roseana L.F.Hend.","9","8.331816","0.330682","0.110227","0.033794"
"Leymus ambiguus (Vasey & Scribn.) D.R.Dewey","12","7.736054","0.539283","0.155678","0.025345"
"Gayophytum heterozygum F.H.Lewis & Szweyk.","40","8.736488","0.554255","0.087635","0.007604"
"Castilleja sulphurea Rydb.","60","8.412719","0.381211","0.049214","0.005069"
"Gilia ochroleuca M.E.Jones","14","7.214083","0.705511","0.188556","0.021724"
"Lupinus latifolius Lindl. ex J.Agardh","65","8.767917","0.882187","0.109422","0.004679"
"Nolana thinophila I.M.Johnst.","3","3.973862","0.850338","0.490943","0.101381"
"Nolana tarapacana (Phil.) I.M.Johnst.","1","3.988984",NA,NA,"0.304142"
"Polemonium confertum A.Gray","14","8.789977","0.325793","0.087072","0.021724"
"Lomatium latilobum (Rydb.) Mathias","3","7.172211","0.129747","0.074909","0.101381"
"Collomia tinctoria Kellogg","50","8.526258","0.786833","0.111275","0.006083"
"Lupinus lepidus Douglas ex Lindl.","14","8.792694","0.946644","0.253001","0.021724"
"Loeseliastrum depressum (M.E.Jones ex A.Gray) J.M.Porter & L.A.Johnson","19","6.721208","0.449805","0.103192","0.016007"
"Primula specuicola Rydb.","6","7.078509","0.356948","0.145723","0.05069"
"Aliciella triodon (Eastw.) Brand","36","7.083046","0.360692","0.060115","0.008448"
"Polemonium carneum A.Gray","18","9.054296","0.929431","0.219069","0.016897"
"Leptosiphon harknessii (Curran) J.M.Porter & L.A.Johnson","63","8.28919","0.650512","0.081957","0.004828"
"Salvia funerea M.E.Jones","9","6.554973","0.972349","0.324116","0.033794"
"Eremalche parryi (Greene) Greene","10","7.423772","0.633517","0.200336","0.030414"
"Aliciella hutchinsifolia (Rydb.) J.M.Porter","38","6.738389","0.488336","0.079219","0.008004"
"Phlox stolonifera Sims","24","9.204449","0.169994","0.0347","0.012673"
"Dodecatheon conjugens Greene","31","8.343947","0.407333","0.073159","0.009811"
"Sairocarpus watsonii (Vasey & Rose) D.A.Sutton","4","7.051282","0.34884","0.17442","0.076035"
"Lomatium graveolens (S.Watson) Dorn & R.L.Hartm.","10","8.1239","0.199153","0.062978","0.030414"
"Cymopterus jonesii (J.M.Coult. & Rose) J.M.Coult. & Rose","8","7.439292","0.170476","0.060272","0.038018"
"Orthocarpus bracteosus Benth.","15","8.460111","0.820126","0.211756","0.020276"
"Collomia wilkenii L.A.Johnson & R.L.Johnson","8","7.746204","0.228591","0.080819","0.038018"
"Lepidium flavum Torr.","28","6.775828","0.655171","0.123816","0.010862"
"Stipa breviflora Griseb.","55","7.317941","1.095303","0.147691","0.00553"
"Lilaeopsis occidentalis J.M.Coult. & Rose","30","9.708599","0.849159","0.155035","0.010138"
"Lupinus subsessilis Benth.","4","9.107683","0.201109","0.100554","0.076035"
"Oenothera villaricae W.Dietr.","2","8.393507","1.016663","0.718889","0.152071"
"Polemonium brandegeei (A.Gray) Greene","24","8.065467","0.230261","0.047002","0.012673"
"Puccinellia lemmonii (Vasey) Scribn.","41","7.459019","0.536263","0.08375","0.007418"
"Collomia tenella A.Gray","23","8.365198","0.716121","0.149322","0.013224"
"Hypericum nudiflorum Michx. ex Willd.","20","9.106899","0.127042","0.028407","0.015207"
"Eriastrum densifolium (Benth.) Mason","19","7.531622","0.638766","0.146543","0.016007"
"Leucophysalis nana (A.Gray) Averett","18","8.202509","0.555428","0.130916","0.016897"
"Cymopterus corrugatus M.E.Jones","16","7.20772","0.38681","0.096702","0.019009"
"Salvia congestiflora Epling","6","9.539583","0.131642","0.053743","0.05069"
"Angelica ampla A.Nelson","16","8.124187","0.316786","0.079196","0.019009"
"Angelica genuflexa Nutt.","55","9.612475","0.511945","0.069031","0.00553"
"Epilobium suffruticosum Nutt.","10","8.372983","0.208662","0.065985","0.030414"
"Lomatium junceum Barneby & N.H.Holmgren","2","7.102779","0.084314","0.059619","0.152071"
"Musineon divaricatum (Pursh) Raf.","28","7.863408","0.297527","0.056227","0.010862"
"Poa kelloggii Vasey","11","8.919616","0.511419","0.154199","0.027649"
"Lupinus shockleyi S.Watson","17","6.272252","0.617025","0.149651","0.017891"
"Hypericum virginicum var. fraseri (Spach) Fernald","7","9.091637","0.202681","0.076606","0.043449"
"Hypericum fraseri (Spach) Steud.","40","9.233527","0.308577","0.04879","0.007604"
"Epilobium obcordatum A.Gray","25","8.67178","0.374791","0.074958","0.012166"
"Lupinus breweri A.Gray","19","8.659991","0.535824","0.122926","0.016007"
"Navarretia sinistra (M.E.Jones) L.A.Johnson","20","8.383842","0.610642","0.136544","0.015207"
"Oenothera humifusa Nutt.","25","9.000947","0.137649","0.02753","0.012166"
"Oryctes nevadensis S.Watson","6","6.702382","0.287834","0.117508","0.05069"
"Aletes sessiliflorus Theob. & Tseng","9","7.537247","0.417361","0.13912","0.033794"
"Zeugites latifolius (E.Fourn.) Hemsl.","9","8.427674","0.275978","0.091993","0.033794"
"Tauschia arguta (Torr. & Gray) J.F.Macbr.","13","7.644068","0.175131","0.048573","0.023396"
"Salvia vaseyi (Porter) Parish","4","6.58117","0.176348","0.088174","0.076035"
"Lomatium concinnum (Osterh.) Mathias","1","7.691657",NA,NA,"0.304142"
"Danthonia parryi Scribn.","29","8.313147","0.34034","0.0632","0.010488"
"Eremothera minor (A.Nelson) W.L.Wagner & Hoch","11","7.400466","0.342705","0.103329","0.027649"
"Hypericum densiflorum Pursh","38","9.154002","0.142233","0.023073","0.008004"
"Allophyllum integrifolium (Brand) A.D.Grant & V.E.Grant","14","8.366726","0.476912","0.12746","0.021724"
"Gilia brecciarum M.E.Jones","17","7.259518","0.55172","0.133812","0.017891"
"Douglasia laevigata A.Gray","15","10.087477","0.677002","0.174801","0.020276"
"Neogaerrhinum filipes (A.Gray) Rothm.","14","6.415455","0.434318","0.116076","0.021724"
"Schizanthus litoralis Phil.","4","7.188817","1.099927","0.549964","0.076035"
"Clarkia dudleyana (Abrams) J.F.Macbr.","15","7.704247","0.471918","0.121849","0.020276"
"Orobanche ballotae A.Pujadas","11","7.886938","0.34738","0.104739","0.027649"
"Hormathophylla longicaulis (Boiss.) Cullen & T.R.Dudley","6","8.299852","0.221538","0.090443","0.05069"
"Erysimum myriophyllum Lange","8","8.132826","0.29236","0.103365","0.038018"
"Sesleria insularis Sommier","5","8.562845","0.16407","0.073374","0.060828"
"Malope trifida Cav.","10","7.976193","0.694149","0.219509","0.030414"
"Ferula loscosii (Lange) Willk.","9","7.794562","0.241605","0.080535","0.033794"
"Hormathophylla purpurea (Lag. & Rodr.) P.Küpfer","2","8.842177","0.484421","0.342537","0.152071"
"Linaria salzmannii Boiss.","4","8.288251","0.292625","0.146313","0.076035"
"Alyssum cuneifolium Ten.","10","9.265834","0.245883","0.077755","0.030414"
"Coincya rupestris Porta & Rigo ex Rouy","1","7.92371",NA,NA,"0.304142"
"Chaenorhinum reyesii (C.Vicioso & Pau) Benedí","13","7.954139","0.215005","0.059632","0.023396"
"Linaria thymifolia (Vahl) DC.","0","NaN",NA,NA,"Inf"
"Solanum lidii Sunding","4","7.095058","0.961495","0.480748","0.076035"
"Trochiscanthes nodiflorus (Vill.) Koch","3","9.059694","0.211318","0.122005","0.101381"
"Androsace brevis (Hegetschw.) Ces.","1","9.640303",NA,NA,"0.304142"
"Oreochloa disticha (Wulfen) Link","24","9.680497","0.415","0.084712","0.012673"
"Cardamine kitaibelii Bech.","3","9.399528","0.385816","0.222751","0.101381"
"Neogoezia breedlovei Constance","2","8.808656","0.203757","0.144078","0.152071"
"Semiarundinaria yashadake (Makino) Makino","10","9.71749","0.174764","0.055265","0.030414"
"Chaenorhinum tenellum (Cav.) Lange","1","7.72312",NA,NA,"0.304142"
"Androsace cylindrica subsp. cylindrica","1","8.93406",NA,NA,"0.304142"
"Androsace cylindrica subsp. willkommii P.Monts.","2","8.619957","0.269411","0.190502","0.152071"
"Androsace ciliata DC.","2","9.548873","0.152478","0.107818","0.152071"
"Lepidium hirtum subsp. hirtum","15","8.310713","0.497946","0.128569","0.020276"
"Chamaecrista rossicorum (H.S.Irwin & Barneby) Rando","6","9.140138","0.200758","0.081959","0.05069"
"Solanum buddlejifolium Sendtn.","13","8.719375","0.305711","0.084789","0.023396"
"Panicum tuerckheimii Hack.","4","9.611848","0.348994","0.174497","0.076035"
"Salvia ramamoorthyana Espejo","3","8.820222","0.209933","0.121205","0.101381"
"Oenothera anomala Curtis","6","7.979415","0.322521","0.131669","0.05069"
"Solanum hougasii Correll","6","8.753535","0.138084","0.056373","0.05069"
"Megacorax gracielanus S.González & W.L.Wagner","1","7.932721",NA,NA,"0.304142"
"Muhlenbergia articulata Scribn.","10","7.835185","0.490668","0.155163","0.030414"
"Bakeridesia subcordata (Hochr.) D.M.Bates","3","8.429933","0.46441","0.268127","0.101381"
"Salvia palealis Epling","5","8.87394","0.202289","0.090466","0.060828"
"Glyceria leptostachya Buckley","24","9.186925","0.810956","0.165536","0.012673"
"Aubrieta vulcanica Hayek & Siehe","1","7.944492",NA,NA,"0.304142"
"Cardamine nuttallii Greene","31","9.292253","0.656964","0.117994","0.009811"
"Rehmannia chingii H.L.Li","5","9.403658","0.067717","0.030284","0.060828"
"Abutilon sandwicense (O.Deg.) Christoph.","2","8.752366","0.070507","0.049856","0.152071"
"Arabis surculosa N.Terracc.","2","9.413859","0.080606","0.056997","0.152071"
"Pentameris velutina (H.P.Linder) Galley & H.P.Linder","2","7.433289","0.532101","0.376252","0.152071"
"Lomatium idahoense Mathias & Constance","4","8.469992","0.315593","0.157797","0.076035"
"Cardamine barbaraeoides Halácsy","1","9.058005",NA,NA,"0.304142"
"Draba lapaziana Al-Shehbaz","4","8.829505","0.398427","0.199213","0.076035"
"Conostomium quadrangulare (Rendle) Cufod.","9","8.034187","0.772013","0.257338","0.033794"
"Kelloggia chinensis Franch.","12","8.53358","0.274725","0.079306","0.025345"
"Epilobium torreyi (S.Watson) Hoch & P.H.Raven","54","8.197061","0.642314","0.087408","0.005632"
"Primula suffrutescens A.Gray","8","8.819288","0.435074","0.153822","0.038018"
"Angelica breweri A.Gray","11","8.888755","0.381561","0.115045","0.027649"
"Perideridia lemmonii (J.M.Coult. & Rose) T.I.Chuang & Constance","16","8.401974","0.587426","0.146857","0.019009"
"Taraxia tanacetifolia (Torr. & A.Gray) Piper","35","7.870476","0.604389","0.10216","0.00869"
"Taraxia subacaulis (Pursh) Rydb.","34","8.108668","0.435875","0.074752","0.008945"
"Navarretia leptalea (A.Gray) L.A.Johnson","15","8.775514","0.553158","0.142825","0.020276"
"Streptanthus tortuosus Kellogg","26","8.756981","0.659198","0.129279","0.011698"
"Navarretia divaricata (Torr. ex Gray) Greene","34","8.619782","0.576892","0.098936","0.008945"
"Polemonium occidentale Greene","105","8.522992","0.584513","0.057043","0.002897"
"Impatiens brachycentra Kar. & Kir.","29","8.14265","0.782226","0.145256","0.010488"
"Linaria venosa Lindl.","13","7.840036","0.388543","0.107762","0.023396"
"Draba korshinskyi (O.Fedtsch.) Pohle","12","8.55269","0.698662","0.201686","0.025345"
"Elymus cognatus (Hack.) Cope","16","7.650147","0.561549","0.140387","0.019009"
"Draba setosa Royle","13","7.952857","0.61465","0.170473","0.023396"
"Draba affghanica Boiss.","3","8.628492","0.296703","0.171302","0.101381"
"Draba trinervis O.E.Schulz","4","8.411159","0.325103","0.162551","0.076035"
"Draba winterbottomii (Hook.f. & Thomson) Pohle","9","8.132507","0.666263","0.222088","0.033794"
"Draba falconeri O.E.Schulz","3","9.090393","0.228837","0.132119","0.101381"
"Draba gracillima Hook.f. & Thomson","6","8.968136","0.6528","0.266504","0.05069"
"Elymus fedtschenkoi Tzvelev","13","8.079319","0.527297","0.146246","0.023396"
"Stipa brandisii Mez","18","8.181356","0.564363","0.133022","0.016897"
"Stipa turkestanica Hack.","15","7.806349","0.543868","0.140426","0.020276"
"Calamagrostis emodensis Griseb.","23","9.151048","0.503789","0.105047","0.013224"
"Heracleum candicans Wall. ex DC.","53","8.493837","0.544685","0.074818","0.005739"
"Leiospora pamirica (Botsch. & Vved.) Botsch. & Pachom.","16","7.215023","0.983344","0.245836","0.019009"
"Aegopodium kashmiricum (R.R.Stewart ex Dunn) Pimenov","10","7.272396","0.961821","0.304155","0.030414"
"Draba cachemirica Gand.","6","7.82348","0.243181","0.099278","0.05069"
"Echinops niveus Wall. ex DC.","9","9.13872","0.176316","0.058772","0.033794"
"Impatiens urticifolia Wall.","6","8.663468","0.437644","0.178667","0.05069"
"Angelica paeoniifolia R.H.Shan & C.C.Yuan","5","8.255747","0.473187","0.211616","0.060828"
"Draba bhutanica H.Hara","1","9.018817",NA,NA,"0.304142"
"Cardamine franchetiana Diels","7","8.90977","0.195843","0.074022","0.043449"
"Angelica nitida H.Wolff","6","8.665458","0.29152","0.119013","0.05069"
"Cortiella caespitosa R.H.Shan & M.L.Sheh","13","8.128616","0.31972","0.088674","0.023396"
"Orinus thoroldii (Stapf ex Hemsl.) Bor","27","7.764703","0.774963","0.149142","0.011265"
"Duthiea brachypodium (P.Candargy) Keng & Keng f.","20","8.745297","0.399515","0.089334","0.015207"
"Heracleum souliei Boiss.","10","8.803753","0.309975","0.098023","0.030414"
"Androsace stenophylla (Petitm.) Hand.-Mazz.","8","8.282807","0.41875","0.14805","0.038018"
"Thamnocalamus spathiflorus (Trin.) Munro","1","8.59582",NA,NA,"0.304142"
"Primula warshenewskiana B.Fedtsch.","6","8.187462","0.714696","0.291773","0.05069"
"Salvia rhytidea Benth.","11","7.757494","0.555833","0.16759","0.027649"
"Secale segetale (Zhuk.) Roshev.","13","7.725092","0.4724","0.13102","0.023396"
"Crambe kotschyana Boiss.","21","7.649024","0.660791","0.144196","0.014483"
"Bunium hissaricum Korovin","7","7.751492","0.590539","0.223203","0.043449"
"Arabis bijuga G.Watt","5","8.622117","0.454631","0.203317","0.060828"
"Stipa mongholica Turcz. ex Trin.","24","8.347632","0.683776","0.139575","0.012673"
"Stipa subsessiliflora (Rupr.) Roshev.","46","7.206561","1.019667","0.150342","0.006612"
"Aulacospermum simplex Rupr.","5","7.267288","0.753515","0.336982","0.060828"
"Draba jucunda W.W.Sm.","3","8.960356","0.542468","0.313194","0.101381"
"Corallodiscus kingianus (Craib) B.L.Burtt","22","8.310806","0.395797","0.084384","0.013825"
"Primula walshii Craib","18","8.399564","0.49992","0.117832","0.016897"
"Impatiens sulcata Wall.","19","8.603183","0.711862","0.163312","0.016007"
"Salvia przewalskii Maxim.","31","8.805966","0.279673","0.050231","0.009811"
"Primula tenuiloba (Watt) Pax","2","8.426862","0.238942","0.168958","0.152071"
"Salvia wardii E.Peter","6","8.878933","0.355679","0.145205","0.05069"
"Linaria bamianica Patzak","4","7.794588","0.222536","0.111268","0.076035"
"Linaria striatella Kuprian.","3","7.45479","0.481967","0.278264","0.101381"
"Lolium persicum Boiss. & Hohen.","16","7.644375","0.832181","0.208045","0.019009"
"Trachyspermum ammi (L.) Sprague","9","7.886982","0.709985","0.236662","0.033794"
"Sisymbriopsis mollipila (Maxim.) Botsch.","6","6.754089","1.239534","0.506038","0.05069"
"Primula reptans Hook.fil. ex Watt","5","8.445556","0.64872","0.290116","0.060828"
"Bupleurum microcephalum Diels","20","8.774405","0.356378","0.079689","0.015207"
"Cortia depressa (D.Don) C.Norman","14","8.519751","0.532994","0.142449","0.021724"
"Notopterygium weberbauerianum (Fedde ex H.Wolff) Pimenov & Kljuykov","4","8.863473","0.162169","0.081084","0.076035"
"Notopterygium incisum C.C.Ting & H.T.Chang","23","8.786113","0.471111","0.098233","0.013224"
"Stephanachne nigrescens Keng","7","8.836766","0.361627","0.136682","0.043449"
"Primula muscoides Hook.fil. ex Watt","3","8.384669","0.286279","0.165283","0.101381"
"Cyclorhiza peucedanifolia (Franch.) Constance","9","8.606597","0.281515","0.093838","0.033794"
"Semenovia radiata (Rech.fil. & Riedl) Alava","4","7.812739","0.8915","0.44575","0.076035"
"Vicatia coniifolia Wall. ex DC.","8","8.473466","0.659419","0.23314","0.038018"
"Draba olgae Regel & Schmalh.","3","7.93319","0.250912","0.144864","0.101381"
"Primula elliptica Royle","5","8.372413","0.675928","0.302284","0.060828"
"Pleurospermum foetens Franch.","14","8.749351","0.271193","0.072479","0.021724"
"Primula fasciculata Balf.fil. & Kingdon-Ward","10","8.716986","0.235805","0.074568","0.030414"
"Draba mongolica Turcz.","18","8.167274","0.83731","0.197356","0.016897"
"Primula alpicola (W.W.Sm.) Stapf","2","8.82165","0.265758","0.187919","0.152071"
"Oenanthe linearis Wall.","17","9.037724","0.335737","0.081428","0.017891"
"Oenanthe sinensis Dunn","28","9.247983","0.197153","0.037258","0.010862"
"Primula pumilio Maxim.","5","7.556412","1.096581","0.490406","0.060828"
"Stephanachne pappophorea (Hack.) Keng","6","7.380119","1.236027","0.504606","0.05069"
"Cymbopogon jwarancusa (Jones) Schult.","23","8.348745","0.959897","0.200152","0.013224"
"Impatiens balfourii Hook.fil.","6","8.76621","0.279252","0.114004","0.05069"
"Atelanthera perpusilla Hook.f. & Thomson","3","7.717174","0.306572","0.176999","0.101381"
"Arcyosperma primulifolium (Thomson) O.E.Schulz","7","8.723208","0.460787","0.174161","0.043449"
"Elymus batalinii (Krasn.) Á.Löve","1","6.920672",NA,NA,"0.304142"
"Angelica apaensis R.H.Shan & C.Q.Yuan","8","8.831131","0.296952","0.104988","0.038018"
"Salvia castanea Diels","9","8.628845","0.458917","0.152972","0.033794"
"Salvia tricuspis Franch.","5","8.842503","0.446413","0.199642","0.060828"
"Androsace cuttingii C.E.C.Fisch.","8","8.169487","0.487735","0.17244","0.038018"
"Impatiens bicornuta Wall.","3","9.056642","0.785899","0.453739","0.101381"
"Salvia hylocharis Diels","3","8.847405","0.145728","0.084136","0.101381"
"Androsace limprichtii Pax & K.Hoffm.","7","8.835839","0.41324","0.15619","0.043449"
"Chamaesium paradoxum H.Wolff","16","8.820373","0.258413","0.064603","0.019009"
"Festuca modesta Steud.","11","8.818292","0.583157","0.175828","0.027649"
"Erysimum deflexum Hook.f. & Thomson","11","7.98693","0.897286","0.270542","0.027649"
"Primula amethystina Franch.","11","9.023333","0.339671","0.102415","0.027649"
"Pimpinella acuminata (Edgew.) C.B.Clarke","6","8.884569","0.661585","0.270091","0.05069"
"Triticum durum Desf.","18","7.739884","1.049963","0.247479","0.016897"
"Triticum turgidum L.","15","7.919864","0.560646","0.144758","0.020276"
"Triticum polonicum L.","1","8.334712",NA,NA,"0.304142"
"Lycium barbarum L.","37","7.946941","0.651793","0.107154","0.00822"
"Cortiella hookeri (C.B.Clarke) C.Norman","9","8.45002","0.656006","0.218669","0.033794"
"Heracleum obtusifolium Wall. ex DC.","2","8.166725","0.087284","0.061719","0.152071"
"Corallodiscus conchifolius Batalin","1","8.717027",NA,NA,"0.304142"
"Androsace globifera Duby","6","8.095955","1.217012","0.496843","0.05069"
"Sporobolus teretifolius R.M.Harper","6","9.025409","0.108842","0.044435","0.05069"
"Hypericum dolabriforme Vent.","4","9.166142","0.024198","0.012099","0.076035"
"Hypericum suffruticosum W.P.Adams & N.Robson","14","9.095396","0.160041","0.042773","0.021724"
"Hypericum nitidum Lam.","15","9.077838","0.121299","0.031319","0.020276"
"Hypericum denticulatum Walter","20","9.067229","0.137621","0.030773","0.015207"
"Spartina bakeri Merr.","12","8.948501","0.080145","0.023136","0.025345"
"Hypericum tenuifolium Pursh","20","8.97275","0.10488","0.023452","0.015207"
"Aegilops columnaris Zhuk.","9","7.993771","0.239842","0.079947","0.033794"
"Erysimum gabrielianiae Polatschek","2","7.845955","0.426559","0.301623","0.152071"
"Secale vavilovii Grossh.","2","8.220968","0.429633","0.303796","0.152071"
"Sinningia reitzii (Hoehne) L.E.Skog","4","9.56025","0.13462","0.06731","0.076035"
"Lilaeopsis brasiliensis (Glaz.) Affolter","13","9.207608","0.336672","0.093376","0.023396"
"Lupinus linearis Desr.","12","9.22151","0.178026","0.051392","0.025345"
"Sinningia polyantha (DC.) Wiehler","2","9.381006","0.172223","0.12178","0.152071"
"Sinningia hatschbachii Chautems","2","9.651824","0.073269","0.051809","0.152071"
"Abutilon costicalyx K.Schum. ex C.Takeuchi & G.L.Esteves","4","9.357451","0.191454","0.095727","0.076035"
"Petunia bonjardinensis T.Ando & Hashim.","3","9.547055","0.119347","0.068905","0.101381"
"Linaria loeselii Schweigg.","6","9.088613","0.103551","0.042275","0.05069"
"Alyssum gmelinii Jord. & Fourr.","8","8.708095","0.224095","0.07923","0.038018"
"Sidalcea hartwegii A.Gray ex Benth.","12","8.465798","0.455554","0.131507","0.025345"
"Lupinus rivularis Douglas ex Lindl.","45","9.128034","0.88006","0.131192","0.006759"
"Lupinus grayi S.Watson","16","8.356573","0.517851","0.129463","0.019009"
"Gayophytum eriospermum Coville","9","8.122255","0.383186","0.127729","0.033794"
"Thysanocarpus curvipes var. curvipes","38","7.742127","0.629145","0.102061","0.008004"
"Oryzopsis hymenoides (Roem. & Schult.) Ricker","67","7.35858","0.593336","0.072488","0.004539"
"Streptanthus heterophyllus Nutt.","6","7.245904","0.594482","0.242696","0.05069"
"Streptanthus insignis subsp. insignis","1","8.385489",NA,NA,"0.304142"
"Streptanthus bernardinus (Greene) Parish","4","7.341497","1.303519","0.65176","0.076035"
"Streptanthus breweri A.Gray","9","8.714067","0.63119","0.210397","0.033794"
"Streptanthus barbatus S.Watson","6","8.754725","0.54918","0.224202","0.05069"
"Hypericum lissophloeus W.P.Adams","2","9.048667","0.224392","0.158669","0.152071"
"Allophyllum divaricatum (Nutt.) A.D.Grant & V.E.Grant","27","8.343132","0.524119","0.100867","0.011265"
"Gilia cana (M.E.Jones) A.Heller","13","6.891056","0.956935","0.265406","0.023396"
"Gilia leptantha Parish","5","7.737337","0.692709","0.309789","0.060828"
"Gilia nevinii A.Gray","4","7.341918","0.592888","0.296444","0.076035"
"Thelypodium crispum Greene ex Payson","9","7.470377","0.410222","0.136741","0.033794"
"Navarretia jepsonii V.L.Bailey ex Jeps.","4","8.451522","0.222072","0.111036","0.076035"
"Navarretia nigelliformis Greene","11","7.620037","0.380034","0.114585","0.027649"
"Festuca subuliflora Scribn.","29","9.333766","0.548614","0.101875","0.010488"
"Lomatium nudicaule (Pursh) J.M.Coult. & Rose","76","8.407773","0.792272","0.09088","0.004002"
"Arabis blepharophylla Hook. & Arn.","7","8.58884","0.605955","0.229029","0.043449"
"Arabis modesta Rollins","5","8.562009","0.458873","0.205214","0.060828"
"Perideridia leptocarpa T.I.Chuang & Constance","2","9.089134","0.482679","0.341306","0.152071"
"Tauschia glauca (J.M.Coult. & Rose) Mathias & Constance","7","8.895744","0.661401","0.249986","0.043449"
"Collomia diversifolia Greene","7","8.84214","0.25208","0.095277","0.043449"
"Arabis aculeolata Greene","3","8.955788","0.767397","0.443057","0.101381"
"Perideridia howellii (J.M.Coult. & Rose) Mathias","13","8.98264","0.564533","0.156573","0.023396"
"Tauschia kelloggii (A.Gray) J.F.Macbr.","16","8.916413","0.447537","0.111884","0.019009"
"Streptanthus howellii S.Watson","2","9.220776","0.282022","0.19942","0.152071"
"Arabis oregana Rollins","10","8.606134","0.636286","0.201211","0.030414"
"Navarretia leucocephala Benth.","14","8.140872","0.450753","0.120469","0.021724"
"Streptanthus barbiger Greene","3","8.616327","0.511238","0.295163","0.101381"
"Perideridia kelloggii (A.Gray) Mathias","21","8.662881","0.560109","0.122226","0.014483"
"Galium californicum Hook. & Arn.","22","8.465838","0.497937","0.106161","0.013825"
"Clarkia concinna (Fisch. & C.A.Mey.) Greene","13","8.574852","0.449016","0.124535","0.023396"
"Muhlenbergia jonesii (Vasey) Hitchc.","9","8.743177","0.677352","0.225784","0.033794"
"Glyceria occidentalis (Piper) J.C.Nelson","33","8.841141","0.749829","0.130528","0.009216"
"Collomia rawsoniana Greene","1","8.473659",NA,NA,"0.304142"
"Camissonia benitensis Raven","1","8.651199",NA,NA,"0.304142"
"Cirsium ciliolatum (L.F.Hend.) J.T.Howell","1","8.170469",NA,NA,"0.304142"
"Cirsium quercetorum (A.Gray) Jeps.","8","8.46226","0.603477","0.213361","0.038018"
"Streptanthus morrisonii F.W.Hoffm.","1","8.948196",NA,NA,"0.304142"
"Draba pterosperma Payson","1","9.643161",NA,NA,"0.304142"
"Arabis macdonaldiana Eastw.","3","9.577199","0.087092","0.050283","0.101381"
"Lomatium triternatum (Pursh) J.M.Coult. & Rose","89","8.181016","0.716847","0.075986","0.003417"
