"species","life_form","n","mean","sd","se"
"Salvia potentillifolia","perennial",NA,NA,NA,NA
"Salvia praeclara","no_life_form_on_database",1,1807,NA,NA
"Salvia praestans","perennial",4,1752,58.5775838809807,29.2887919404904
"Salvia prasiifolia","no_life_form_on_database",1,1888,NA,NA
"Salvia pratensis","perennial",259,954.34749034749,190.216978573091,11.8195079465417
"Salvia prattii","perennial",10,1024.5,194.899546775598,61.6326482745414
"Salvia procurrens","perennial",27,1343.2962962963,168.503324508362,32.4284799214166
"Salvia protracta","perennial",7,1690.85714285714,160.427998981296,60.6360840908906
"Salvia prunelloides","perennial",NA,NA,NA,NA
"Salvia prunifolia","no_life_form_on_database",NA,NA,NA,NA
"Salvia przewalskii","perennial",31,1093.22580645161,135.976642523001,24.4221259489304
"Salvia pseudeuphratica","perennial",NA,NA,NA,NA
"Salvia pubescens","perennial",9,1742.77777777778,163.901477859245,54.6338259530815
"Salvia pulchella","perennial",8,1671.75,149.078838203147,52.7073287124286
"Salvia purpurea","perennial",7,1626,161.996913550845,61.2290780593665
"Salvia purpusii","perennial",4,1967.75,102.252546830548,51.1262734152738
"Salvia pusilla","perennial",6,1823.33333333333,78.6350218838061,32.1026132546523
"Salvia pygmaea","perennial",2,1581,28.2842712474619,20
"Salvia qimenensis","annual",NA,NA,NA,NA
"Salvia quercetorum","no_life_form_on_database",3,1520.33333333333,7.09459888459759,4.09606857581484
"Salvia quezelii","perennial",NA,NA,NA,NA
"Salvia radula","no_life_form_on_database",NA,NA,NA,NA
"Salvia ramamoorthyana","perennial",3,1652.33333333333,129.074913648367,74.5214361405123
"Salvia ramosa","perennial",NA,NA,NA,NA
"Salvia ranzaniana","perennial",11,1167.90909090909,144.417765212909,43.54359457026
"Salvia raymondii","perennial",1,1534,NA,NA
"Salvia recognita","perennial",NA,NA,NA,NA
"Salvia recurva","perennial",13,1594.38461538462,221.078997367283,61.3162816104544
"Salvia reflexa","annual",231,1854.37229437229,365.355098159037,24.0386006095931
"Salvia regla","perennial",56,1955.85714285714,192.332423264932,25.7015011509059
"Salvia remota","perennial",NA,NA,NA,NA
"Salvia repens","perennial",26,1844.03846153846,202.807589753289,39.7738406791055
"Salvia reptans","perennial",23,1883.73913043478,215.845529233567,45.0069040549764
"Salvia retinervia","perennial",NA,NA,NA,NA
"Salvia reuteriana","perennial",1,2180,NA,NA
"Salvia rhombifolia","annual",7,1469.85714285714,321.177224478651,121.393580392639
"Salvia rhyacophila","no_life_form_on_database",12,1824.66666666667,152.511301121251,44.0262203784072
"Salvia rhytidea","perennial",11,1475.27272727273,129.096158664068,38.9239563786274
"Salvia richardsonii","no_life_form_on_database",NA,NA,NA,NA
"Salvia ringens","perennial",15,1234.06666666667,119.658721052038,30.8957489242016
"Salvia roborowskii","annual",44,1154.56818181818,144.949132653778,21.8519039409106
"Salvia roemeriana","perennial",34,2016.79411764706,184.145327886784,31.5806631931868
"Salvia rosei","perennial",2,1872.5,137.885822331377,97.5
"Salvia rosmarinus","perennial",NA,NA,NA,NA
"Salvia rostellata","perennial",NA,NA,NA,NA
"Salvia rubescens","perennial",4,1342.75,325.011153654763,162.505576827382
"Salvia rubiginosa","no_life_form_on_database",26,1743.38461538462,200.366679250434,39.2951387450672
