"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Salvia pinguifolia","no_life_form_on_database",20,4.356795,0.318513,0.071222,0.011169
"Salvia pinnata","perennial",NA,NA,NA,NA,NA
"Salvia pisidica","perennial",NA,NA,NA,NA,NA
"Salvia platystoma","no_life_form_on_database",1,4.812184,NA,NA,0.223385
"Salvia plebeia","annual",219,5.235135,0.51516,0.034811,0.00102
"Salvia plectranthoides","annual",28,5.222958,0.308724,0.058343,0.007978
"Salvia plurispicata","no_life_form_on_database",3,5.705539,0.206853,0.119427,0.074462
"Salvia poculata","perennial",NA,NA,NA,NA,NA
"Salvia podadena","annual",14,4.718381,0.521515,0.139381,0.015956
"Salvia pogonochila","perennial",NA,NA,NA,NA,NA
"Salvia polystachya","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia potaninii","perennial",NA,NA,NA,NA,NA
"Salvia potentillifolia","perennial",NA,NA,NA,NA,NA
"Salvia praeclara","no_life_form_on_database",1,4.812184,NA,NA,0.223385
"Salvia praestans","perennial",4,5.636408,0.195635,0.097818,0.055846
"Salvia prasiifolia","no_life_form_on_database",1,5.278115,NA,NA,0.223385
"Salvia pratensis","perennial",259,4.413738,0.293257,0.018222,0.000862
"Salvia prattii","perennial",10,4.632757,0.502218,0.158815,0.022338
"Salvia procurrens","perennial",27,5.115587,0.244843,0.04712,0.008274
"Salvia protracta","perennial",7,5.48832,0.230704,0.087198,0.031912
"Salvia prunelloides","perennial",NA,NA,NA,NA,NA
"Salvia prunifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia przewalskii","perennial",31,4.650425,0.381076,0.068443,0.007206
"Salvia pseudeuphratica","perennial",NA,NA,NA,NA,NA
"Salvia pubescens","perennial",9,5.149557,0.188379,0.062793,0.024821
"Salvia pulchella","perennial",8,5.372977,0.408015,0.144255,0.027923
"Salvia purpurea","perennial",7,5.553993,0.321989,0.1217,0.031912
"Salvia purpusii","perennial",4,4.1523,0.168916,0.084458,0.055846
"Salvia pusilla","perennial",6,5.500473,0.539655,0.220313,0.037231
"Salvia pygmaea","perennial",2,5.592752,0.123631,0.08742,0.111692
"Salvia qimenensis","annual",NA,NA,NA,NA,NA
"Salvia quercetorum","no_life_form_on_database",3,5.680035,0.43249,0.249698,0.074462
"Salvia quezelii","perennial",NA,NA,NA,NA,NA
"Salvia radula","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia ramamoorthyana","perennial",3,5.625961,0.377058,0.217695,0.074462
"Salvia ramosa","perennial",NA,NA,NA,NA,NA
"Salvia ranzaniana","perennial",11,5.945028,0.31954,0.096345,0.020308
"Salvia raymondii","perennial",1,4.969813,NA,NA,0.223385
"Salvia recognita","perennial",NA,NA,NA,NA,NA
"Salvia recurva","perennial",13,5.651613,0.599731,0.166335,0.017183
"Salvia reflexa","annual",231,4.421969,0.381209,0.025082,0.000967
"Salvia regla","perennial",56,4.716288,0.535972,0.071622,0.003989
"Salvia remota","perennial",NA,NA,NA,NA,NA
"Salvia repens","perennial",26,4.403679,0.448414,0.087941,0.008592
