"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Salvia poculata","perennial",NA,NA,NA,NA,NA
"Salvia podadena","annual",14,8.106359,0.436479,0.116654,0.021724
"Salvia pogonochila","perennial",NA,NA,NA,NA,NA
"Salvia polystachya","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia potaninii","perennial",NA,NA,NA,NA,NA
"Salvia potentillifolia","perennial",NA,NA,NA,NA,NA
"Salvia praeclara","no_life_form_on_database",1,8.201112,NA,NA,0.304142
"Salvia praestans","perennial",4,8.800117,0.217937,0.108968,0.076035
"Salvia prasiifolia","no_life_form_on_database",1,8.461469,NA,NA,0.304142
"Salvia pratensis","perennial",258,8.859847,0.326171,0.020307,0.001179
"Salvia prattii","perennial",10,8.831243,0.345194,0.10916,0.030414
"Salvia procurrens","perennial",27,9.317003,0.301749,0.058072,0.011265
"Salvia protracta","perennial",7,8.676496,0.234307,0.08856,0.043449
"Salvia prunelloides","perennial",NA,NA,NA,NA,NA
"Salvia prunifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia przewalskii","perennial",31,8.805966,0.279673,0.050231,0.009811
"Salvia pseudeuphratica","perennial",NA,NA,NA,NA,NA
"Salvia pubescens","perennial",9,8.414338,0.273277,0.091092,0.033794
"Salvia pulchella","perennial",8,8.578003,0.430025,0.152037,0.038018
"Salvia purpurea","perennial",7,9.035168,0.513482,0.194078,0.043449
"Salvia purpusii","perennial",4,7.5242,0.3105,0.15525,0.076035
"Salvia pusilla","perennial",6,8.647634,0.3406,0.139049,0.05069
"Salvia pygmaea","perennial",2,9.638469,0.087918,0.062167,0.152071
"Salvia qimenensis","perennial",NA,NA,NA,NA,NA
"Salvia quercetorum","no_life_form_on_database",3,8.994845,0.523547,0.30227,0.101381
"Salvia quezelii","perennial",NA,NA,NA,NA,NA
"Salvia radula","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia ramamoorthyana","perennial",3,8.820222,0.209933,0.121205,0.101381
"Salvia ramosa","perennial",NA,NA,NA,NA,NA
"Salvia ranzaniana","perennial",11,9.814513,0.254339,0.076686,0.027649
"Salvia raymondii","perennial",1,8.217978,NA,NA,0.304142
"Salvia recognita","perennial",NA,NA,NA,NA,NA
"Salvia recurva","perennial",13,8.938236,0.479724,0.133051,0.023396
"Salvia reflexa","annual",231,7.927807,0.527184,0.034686,0.001317
"Salvia regla","perennial",56,7.963557,0.452878,0.060518,0.005431
"Salvia remota","perennial",NA,NA,NA,NA,NA
